id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped
rancho-corral-quati,Corral De Quati,1845,pico,Pio Pico,Agustin Davila,13322,3,,SD 049,Confirmed,Maria Antonia de la Lataillade,"Aug. 7, 1876","13,322.29",362,,https://digicoll.lib.berkeley.edu/record/266086,https://ranchos.archivesofcalifornia.com/r/rancho-corral-quati.html,yes
rancho-locoallomi,Locoallomi,1841,alvarado,Jimeno,Julian Pope,8872,2,Napa,ND 154,Confirmed,the heirs of Joseph Pope et al,"Mar. 17, 1862","8,872.73",81,,https://digicoll.lib.berkeley.edu/record/265514,https://ranchos.archivesofcalifornia.com/r/rancho-locoallomi.html,yes
rancho-caymus,Caymus,1836,interim,the interim government,George C. Yount,11814,,Napa,ND 032,Confirmed,George C. Yount,"Apl. 3, 1863","11,814.52",78,,https://digicoll.lib.berkeley.edu/record/264419,https://ranchos.archivesofcalifornia.com/r/rancho-caymus.html,yes
rancho-rincon-san-francisquito,Rincon De San Francisquito,1841,alvarado,Alvarado,Jose Peua,8418,,Santa Clara,ND 081,Confirmed,Teodoro and Secundino Robles,"Feb. 19, 1868","8,418.21",146,,https://digicoll.lib.berkeley.edu/record/264464,https://ranchos.archivesofcalifornia.com/r/rancho-rincon-san-francisquito.html,yes
rancho-sur,El Sur,1834,figueroa,Figueroa,John B. R. Cooper,8949,,Monterey,SD 001,Confirmed,John B.R. Cooper,"May 18, 1866","8,949.06",288,,https://digicoll.lib.berkeley.edu/record/266042,https://ranchos.archivesofcalifornia.com/r/rancho-sur.html,yes
rancho-buena-vista-1,Buena Vista,1822,spanish,a Spanish governor,"Mariano Malarin, attorney for José S. Estrada",7725,,Monterey,SD 204,Confirmed,"Mariano Malarin, attorney for Jose S. Estrada","Sept. 15, 1869","7,725.56",274,,https://digicoll.lib.berkeley.edu/record/267548,https://ranchos.archivesofcalifornia.com/r/rancho-buena-vista-1.html,yes
rancho-canada-hambre-bolsas,Canada Del Hambre Y Las Bolsas,1838,alvarado,Alvarado,Teodora Soto,13353,2,Contra Costa,ND 308,Confirmed,Teodora Soto,"Dec. 31, 1866","13,353.95",114,,https://digicoll.lib.berkeley.edu/record/256637,https://ranchos.archivesofcalifornia.com/r/rancho-canada-hambre-bolsas.html,yes
rancho-pastoria-borregas,Pastoria De Las Borregas,1842,alvarado,Alvarado,Mariano Castro,4172,,Santa Clara,ND 097,Confirmed,Mariano Castro,"Sept. 17, 1881","4,172.13",144,,https://digicoll.lib.berkeley.edu/record/265458,https://ranchos.archivesofcalifornia.com/r/rancho-pastoria-borregas.html,yes
rancho-san-pascual-1,San Pascual (Garfias),1843,micheltorena,Micheltorena,M. Garfias,13693,3.5,Los Angeles,SD 173,Confirmed,Manuel Garfias,"Apl. 3, 1863","13,693.93",415,,https://digicoll.lib.berkeley.edu/record/266131,https://ranchos.archivesofcalifornia.com/r/rancho-san-pascual-1.html,yes
rancho-pismo,Pismo,1840,alvarado,Jimeno,Jose Ortega,8838,2,San Luis Obispo,SD 120,Confirmed,Isaac J. Sparks,"Nov. 16, 1866","8,838.89",336,,https://digicoll.lib.berkeley.edu/record/265861,https://ranchos.archivesofcalifornia.com/r/rancho-pismo.html,yes
