id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped,docket_relation
rancho-canada-osos-pecho-islay,Canada De Los Osos Y Pecho Y Islay,1845,pico,Pico,James Scott and John Wilson,32430,,San Luis Obispo,SD 028,Confirmed,John Wilson,"Sept. 23, 1869","32,430.76",331,,https://digicoll.lib.berkeley.edu/record/256660,https://ranchos.archivesofcalifornia.com/r/rancho-canada-osos-pecho-islay.html,yes,sole
rancho-asuncion,Asuncion,1845,pico,Pio Pico,P. Estrada,39224,,San Luis Obispo,SD 076,Confirmed,Pedro Estrada,"Mar. 22, 1866","39,224.81",318,,https://digicoll.lib.berkeley.edu/record/266103,https://ranchos.archivesofcalifornia.com/r/rancho-asuncion.html,yes,sole
rancho-capay,Capay,1844,micheltorena,Micheltorena,Josefa Soto,44388,,Tehama,ND 042,Confirmed,Josefa Soto,"Aug. 18, 1859","44,388.17",8,,https://digicoll.lib.berkeley.edu/record/264429,https://ranchos.archivesofcalifornia.com/r/rancho-capay.html,yes,sole
rancho-bodega,Bodega,1844,micheltorena,Micheltorena,Stephen Smith,35489,8,Sonoma,ND 035,Confirmed,"Manuela T. Curtis, Stephen Smith, Manuela Smith and James Smith","Apl. 18, 1859","35,489.52",27,,https://digicoll.lib.berkeley.edu/record/264422,https://ranchos.archivesofcalifornia.com/r/rancho-bodega.html,yes,sole
rancho-piedra-blanca,Piedra Blanca,1840,alvarado,Alvarado,José de Jesús Pico,48805,,,SD 043,Confirmed,Jose de Jesus Pico,"Oct. 9, 1876","48,805.59",321,,https://digicoll.lib.berkeley.edu/record/266080,https://ranchos.archivesofcalifornia.com/r/rancho-piedra-blanca.html,yes,sole
rancho-yokaya,Yokaya,1845,pico,Pio Pico,C. Juares,541,8,Mendocino,ND 217,Patented,,"Mar. 8, 1867",,23,,https://digicoll.lib.berkeley.edu/record/265809,https://ranchos.archivesofcalifornia.com/r/rancho-yokaya.html,yes,sole
rancho-santiago-santa-ana,Santiago De Santa Ana,1810,spanish,a Spanish governor,Antonio Yorba and Juan Pablo Peralta,78941,,Orange,SD 346,Confirmed,Bernardo Yorba et al,"Dec. 21, 1883","78,941.49",474,,https://digicoll.lib.berkeley.edu/record/268968,https://ranchos.archivesofcalifornia.com/r/rancho-santiago-santa-ana.html,yes,sole
rancho-honcut,Honcut,1844,micheltorena,Micheltorena,Teodoro Cordua,31079,,Yuba,ND 301,Confirmed,Charles Covillaud et al,"Mar. 9, 1863","31,079.96",19,,https://digicoll.lib.berkeley.edu/record/256630,https://ranchos.archivesofcalifornia.com/r/rancho-honcut.html,yes,sole
rancho-german,German,1846,pico,Pio Pico,Ernest Rufus,17580,5,Sonoma,ND 015,Confirmed,Charles Meyer et al,"July 30, 1872","17,580.01",25,,https://digicoll.lib.berkeley.edu/record/264407,https://ranchos.archivesofcalifornia.com/r/rancho-german.html,yes,sole
rancho-prietos-najalayegua,Los Prietos Y Najalayegua,1845,pico,Pico,Jose Dominguez,48729,,,,Confirmed,,,,,,,https://ranchos.archivesofcalifornia.com/r/rancho-prietos-najalayegua.html,yes,sole
